Chronicle,-2012
23 Jump Street,-2015
The Lovers,-2015
Pacific Rim: Maelstrom,-2016
For Your Eyes Only,-1981
Untitled Blade Runner Project,-2016
Smosh: The Movie,-2015
Rocky Horror Show Live,-2015
Mr. Peabody & Sherman,-2014
Mimic,-1997
Treasure Planet,-2002
The Watch,-2012
Frankenstein,-1931
Bicentennial Man,-1999
Surrogates,-2009
The Iron Giant,-1999
Demolition Man,-1993
The Hive,-2015
Knowing,-2009
Splice,-2009
Ultraviolet,-2006
Mighty Morphin Power Rangers: The Movie,-1995
Gamer,-2009
M.M.P.R.,-2015
Sharknado,-2013
Flash Gordon,-1980
Journey 3: From the Earth to the Moon,-2016
Hollow Man,-2000
The Secret of NIMH,-1982
Deep Impact,-1998
Journey to the Center of the Earth,-2008
The Time Traveler's Wife,-2009
Death Race,-2008
Coneheads,-1993
Devil's Pass,-2013
Robots,-2005
Ghost in the Shell,-2017
Austin Powers in Goldmember,-2002
WarGames,-1983
Superbabies: Baby Geniuses 2,-2004
The Abyss,-1989
Hellboy 3,-2017
Dr. Jekyll and Mr. Hyde,-1941
Space Jam,-1996
Zathura: A Space Adventure,-2005
Europa Report,-2013
Dreamcatcher,-2003
The Jacket,-2005
Iron Sky,-2012
Lazer Team,-2015
Untitled Neill Blomkamp/Alien Project,-2017
The Time Machine,-2002
Godzilla,-1998
Lockout,-2012
Mission to Mars,-2000
Superman IV: The Quest for Peace,-1987
AVP: Alien vs. Predator,-2004
Aquaman,-2018
Solaris,-1972
Dragonball: Evolution,-2009
Mystery Men,-1999
The Fourth Kind,-2009
Galaxy Quest,-1999
Another Earth,-2011
Battle Royale,-2000
Cloudy with a Chance of Meatballs,-2009
Monsters vs. Aliens,-2009
Real Genius,-1985
Wild Wild West,-1999
Eraserhead,-1977
The X Files,-1998
Deja Vu,-2006
Soldier,-1998
The Dark Tower,-2017
The Dead Zone,-1983
Killer Klowns from Outer Space,-1988
Battle Los Angeles,-2011
The Last of Us,-2016
The Machine,-2013
Ghosts of Mars,-2001
TRON,-1982
Stalker,-1979
Frequency,-2000
Species,-1995
Meet the Robinsons,-2007
Untitled Han Solo Star Wars Anthology Film,-2018
Earth to Echo,-2014
Re-Animator,-1985
Battlefield Earth,-2000
Super Mario Bros.,-1993
Supergirl,-1984
A Scanner Darkly,-2006
Monsters,-2010
Heavy Metal,-1981
Spy Kids 3-D: Game Over,-2003
Doomsday,-2008
Escape from L.A.,-1996
Soylent Green,-1973
Next,-2007
The Last Days on Mars,-2013
Akira,-1988
Small Soldiers,-1998
The Flintstones in Viva Rock Vegas,-2000
Logan's Run,-1976
The Postman,-1997
Dinosaur,-2000
The Green Hornet,-2011
The Box,-2009
Star Trek II: The Wrath of Khan,-1982
Twilight Zone: The Movie,-1983
Tank Girl,-1995
Æon Flux,-2005
Fantastic 4: Rise of the Silver Surfer,-2007
Monsters: Dark Continent,-2014
The Core,-2003
Daybreakers,-2009
The Stepford Wives,-2004
After the Dark,-2013
Night of the Creeps,-1986
The Thirteenth Floor,-1999
Universal Soldier,-1992
Timeline,-2003
The Island of Dr. Moreau,-1996
PK,-2014
Hardcore,-2015
Star Trek: Nemesis,-2002
Ghost in the Shell,-1995
Perfect Sense,-2011
Bride of Frankenstein,-1935
Invasion of the Body Snatchers,-1978
City of Ember,-2008
The X Files: I Want to Believe,-2008
Nausicaä of the Valley of the Wind,-1984
Solaris,-2002
Quarantine,-2008
Race to Witch Mountain,-2009
Upstream Color,-2013
Land of the Lost,-2009
Flight World War II,-2015
The Andromeda Strain,-1971
John Dies at the End,-2012
Babylon A.D.,-2008
THX 1138,-1971
Short Circuit,-1986
2010,-1984
Judge Dredd,-1995
Aliens vs. Predator: Requiem,-2007
The Host,-2006
The Rocketeer,-1991
The Relic,-1997
The War of the Worlds,-1953
The Invasion,-2007
Strange Days,-1995
K-PAX,-2001
Open Your Eyes,-1997
Frequencies,-2013
Firestarter,-1984
Lake Placid,-1999
Robot Overlords,-2014
Final Fantasy: The Spirits Within,-2001
Red Planet,-2000
Star Trek: The Motion Picture,-1979
Time Warrior,-2012
RoboCop 2,-1990
Westworld,-1973
Zardoz,-1974
Predator 2,-1990
Village of the Damned,-1995
Enthiran 2,-2017
Untitled Wolverine Sequel,-2017
Upside Down,-2012
Spy Kids 2: Island of Lost Dreams,-2002
The Divergent Series: Ascendant,-2017
1,-2013
Forbidden Planet,-1956
The Tuxedo,-2002
Blast from the Past,-1999
Inhumans,-2019
Maximum Overdrive,-1986
Flight of the Navigator,-1986
The Sinister Six,-2016
The Time Machine,-1960
Harbinger Down,-2015
Detention,-2011
Mortal Kombat: Annihilation,-1997
The Congress,-2013
The Colony,-2013
The Brood,-1979
Chicken Little,-2005
The Last Starfighter,-1984
Superman III,-1983
The Manchurian Candidate,-2004
Superhero Movie,-2008
Videodrome,-1983
The Day the Earth Stood Still,-1951
Story of Your Life,-2016
Extraterrestrial,-2014
Congo,-1995
Time Bandits,-1981
Somewhere in Time,-1980
Thunderbirds,-2004
Sharknado 2: The Second One,-2014
Stake Land,-2010
Superman II,-1980
Repo Men,-2010
Krypton,-2016
Skyline,-2010
Bill & Ted's Bogus Journey,-1991
The Starving Games,-2013
Star Trek IV: The Voyage Home,-1986
Arachnophobia,-1990
Godzilla 2,-2018
Star Trek: First Contact,-1996
Flatliners,-1990
Paycheck,-2003
The Man Who Fell to Earth,-1976
Apollo 18,-2011
Zoom,-2006
The Labyrinth,-2015
Outlander,-2008
Scanners,-1981
Dragon Ball Z: Battle of Gods,-2013
Inspector Gadget,-1999
Creature from the Black Lagoon,-1954
Star Trek III: The Search for Spock,-1984
Phantasm,-1979
Volcano,-1997
Night of the Comet,-1984
Beyond Skyline,-2015
OzLand,-2015
TMNT,-2007
Thundercats,-2016
Listening,-2014
Titan A.E.,-2000
Alone in the Dark,-2005
The Space Between Us,-2016
Midnight Special,-2015
Bubble Boy,-2001
Avengers Grimm,-2015
Fahrenheit 451,-1966
The Avengers,-1998
The Adventures of Buckaroo Banzai Across the 8th Dimension,-1984
Star Trek 4,-2019
The Divide,-2011
The Forgotten,-2004
Supernova,-2000
Cell,-2016
The Scribbler,-2014
Womb,-2010
Star Trek: Insurrection,-1998
Ewoks: The Battle for Endor,-1985
Darkman,-1990
eXistenZ,-1999
The 6th Day,-2000
The Black Hole,-1979
Krrish 3,-2013
The Star Wars Holiday Special,-1987
Valérian and the City of a Thousand Planets,-2017
Cocoon,-1985
Lifeforce,-1985
Love,-2011
Southland Tales,-2006
Space Station 76,-2014
The Darkest Hour,-2011
Men & Chicken,-2015
The Nutty Professor,-1996
The Saint,-1997
Harlock: Space Pirate,-2013
Star Trek VI: The Undiscovered Country,-1991
Chain Reaction,-1996
Altered States,-1980
The Ewok Adventure,-1984
Repo! The Genetic Opera,-2008
The Lawnmower Man,-1992
Johnny Mnemonic,-1995
Into the Forest,-2015
Christmas Icetastrophe,-2014
Eight Legged Freaks,-2002
Baby Geniuses,-1999
Star Trek: Generations,-1994
Invasion of the Body Snatchers,-1956
RoboCop 3,-1993
Timecop,-1994
Sliding Doors,-1998
S. Darko,-2009
Universal Soldier: Day of Reckoning,-2012
Justice League Part Two,-2019
Young Ones,-2014
D.A.R.Y.L.,-1985
Critters,-1986
Space Jam 2,-2016
The City of Lost Children,-1995
Innerspace,-1987
Blindness,-2008
Avengers: Infinity War - Part II,-2019
Tekken,-2010
Okja,-2016
Wonder Woman,-2011
Cargo,-2009
Iron Sky: The Coming Race,-2016
Rogue,-2007
Pulse,-2006
Mighty Joe Young,-1998
Advantageous,-2015
Last Son of Krypton,-2013
Astro Boy,-2009
Sky Captain and the World of Tomorrow,-2004
Enemy Mine,-1985
G.I. Joe 3,-2016
Frankenstein's Army,-2013
Forever Young,-1992
Delirium,-2014
Carriers,-2009
Deep Rising,-1998
Explorers,-1985
Colossal,-2016
From Beyond,-1986
Willard,-2003
