Title,Year
Intruders,-2015
Children of the Corn,-2009
Animal,-2014
Afflicted,-2013
Videodrome,-1983
It,-2017
Extraterrestrial,-2014
Innocence,-2014
The Hunger,-1983
The Revenant,-2009
Sharknado 2: The Second One,-2014
Contracted: Phase II,-2015
Angel Heart,-1987
Stake Land,-2010
The Apparition,-2012
Grave Encounters 2,-2012
Turistas,-2006
Rings,-2016
The Ghost and the Darkness,-1996
Arachnophobia,-1990
Ghoulies,-1984
Muck,-2015
Psycho II,-1983
Leprechaun,-1993
V/H/S: Viral,-2014
The Hills Have Eyes,-1977
Chernobyl Diaries,-2012
Banshee Chapter,-2013
Ginger Snaps,-2000
The Tall Man,-2012
The Devil Inside,-2012
Poltergeist II: The Other Side,-1986
Flatliners,-1990
Shark Night 3D,-2011
Dracula: Dead and Loving It,-1995
A Haunted House,-2013
Night of the Living Dead: Darkest Dawn,-2015
Don't Look Now,-1973
Apollo 18,-2011
The Den,-2013
Mockingbird,-2014
May,-2002
Poker Night,-2014
Sympathy for Lady Vengeance,-2005
Cursed,-2005
The Labyrinth,-2015
The Messengers,-2007
Scanners,-1981
Smiley,-2012
The Midnight Meat Train,-2008
Jason Goes to Hell: The Final Friday,-1993
The Innocents,-1961
Creature from the Black Lagoon,-1954
The Last Exorcism,-2010
Phantasm,-1979
Ghostline,-2015
Brotherhood of the Wolf,-2001
Night of the Comet,-1984
Jaws: The Revenge,-1987
Knights of Badassdom,-2013
See No Evil 2,-2014
Mom's Got a Date with a Vampire,-2000
Pod,-2015
Sleepaway Camp,-1983
Night of the Demons,-1988
Cry_Wolf,-2005
My Babysitter's a Vampire,-2010
Sleep Tight,-2011
Leatherface: Texas Chainsaw Massacre III,-1990
Chained,-2012
Paranormal Activity 2: Tokyo Night,-2010
Alone in the Dark,-2005
Salem's Lot,-1979
Dog Soldiers,-2002
My Soul to Take,-2010
Shadow of the Vampire,-2000
Cell,-2016
The Forgotten,-2004
Charlie's Farm,-2014
Supernova,-2000
[REC] 4: Apocalypse,-2014
Hellbound: Hellraiser II,-1988
The Babysitter,-2016
He Never Died,-2015
Come Back to Me,-2014
Ravenous,-1999
BloodRayne,-2005
Gabriel,-2007
Poltergeist III,-1988
eXistenZ,-1999
Friday the 13th: A New Beginning,-1985
Vampire's Kiss,-1988
A Nightmare on Elm Street 5: The Dream Child,-1989
Kill List,-2011
Fido,-2006
Burnt Offerings,-1976
The Remaining,-2014
Damien: Omen II,-1978
Lifeforce,-1985
Texas Chainsaw Massacre: The Next Generation,-1994
February,-2015
Boogeyman,-2005
Tower of Terror,-1997
Wolf Creek 2,-2013
Zombie,-1979
The Darkest Hour,-2011
Stigmata,-1999
Wind Walkers,-2015
Krampus: The Christmas Devil,-2013
Wind Chill,-2007
Don't Blink,-2014
Zombieland 2,-2017
Vampire Killers,-2009
Jason Lives: Friday the 13th Part VI,-1986
Late Phases,-2014
The Howling,-1981
House on Haunted Hill,-1959
Jaws 3-D,-1983
Altered States,-1980
Bordello of Blood,-1996
Five Nights at Freddy's,-2017
Repo! The Genetic Opera,-2008
Birdemic: Shock and Terror,-2010
The Lawnmower Man,-1992
Club Dread,-2004
Survival Island,-2005
Cheap Thrills,-2013
Nosferatu the Vampyre,-1979
Ernest Scared Stupid,-1991
Sleeping Beauty,-2014
Eight Legged Freaks,-2002
Shutter,-2008
The Vanishing,-1993
Troll 2,-1990
Motel Hell,-1980
Twixt,-2011
Invasion of the Body Snatchers,-1956
At the Devil's Door,-2014
The Abandoned,-2006
A Tale of Two Sisters,-2003
Wolf,-1994
Universal Soldier: Day of Reckoning,-2012
Critters,-1986
The Texas Chainsaw Massacre 2,-1986
Let Us Prey,-2014
Sleepwalkers,-1992
Open Water,-2003
The ABCs of Death 2,-2014
The Curse of Downers Grove,-2015
Anacondas: The Hunt for the Blood Orchid,-2004
Raze,-2013
Dark Water,-2005
Wer,-2013
The Wolf Man,-1941
Jeruzalem,-2015
Rogue,-2007
Open Grave,-2013
Pulse,-2006
Near Dark,-1987
House,-1977
Mother's Day,-2010
The Eye,-2008
Hatchet,-2006
The Reaping,-2007
Cannibal Ferox,-1981
Frankenstein's Army,-2013
No One Lives,-2012
Bite,-2015
Under Wraps,-1997
Residue,-2015
Carriers,-2009
Deep Rising,-1998
Mercy,-2014
House of the Dead,-2003
The Picture of Dorian Gray,-1945
From Beyond,-1986
Willard,-2003
7500,-2014
Out of the Dark,-2014
Exorcist: The Beginning,-2004
The Chaser,-2008
The Invisible Man,-1933
The Innkeepers,-2011
The Entity,-1982
Sweet Home,-2015
All the Boys Love Mandy Lane,-2006
Hellraiser: Bloodline,-1996
Ring,-1998
After.Life,-2009
Tideland,-2005
The Chosen,-2015
The Thing from Another World,-1951
The Phantom of the Opera,-1925
Blood Creek,-2009
Jug Face,-2013
Blind Alley,-2011
Soldiers of the Damned,-2015
The Conspiracy,-2012
House,-1986
Zombie Strippers!,-2008
Preservation,-2014
Elvira: Mistress of the Dark,-1988
Behind the Wall,-2008
Hellraiser III: Hell on Earth,-1992
Shutter,-2004
Grabbers,-2012
The Thaw,-2009
Plan 9 from Outer Space,-1959
Willow Creek,-2013
P2,-2007
The Possession of Michael King,-2014
Attack of the Jurassic Shark,-2012
The Beast,-1975
Cabin Fever,-2016
White Noise,-2005
House of Usher,-1960
Diabolique,-1955
Cold Creek Manor,-2003
Crush,-2013
Witching and Bitching,-2013
Bad Taste,-1987
Altar,-2014
Dr. Jekyll and Mr. Hyde,-1931
The Fly,-1958
Cherry Tree Lane,-2010
Awaken,-2015
See No Evil,-2006
One Missed Call,-2008
Wrong Turn 4: Bloody Beginnings,-2011
House of Wax,-1953
Awaiting,-2015
The Editor,-2014
#Horror,-2015
Robert the Doll,-2015
The Blob,-1958
Hatchet III,-2013
Creepshow 2,-1987
Range 15,-2016
Red Clover,-2012
Eyes Without a Face,-1960
Dylan Dog: Dead of Night,-2010
ATM,-2012
In Their Skin,-2012
Strippers vs Werewolves,-2012
Swamp Thing,-1982
Anabel,-2015
Phantoms,-1998
Day of the Dead,-2008
Catacombs,-2007
Der Fan,-1982
[Rec] 2,-2009
Bait,-2012
Cat People,-1982
Afterparty,-2013
Cub,-2014
Friday the 13th Part VII: The New Blood,-1988
Trick or Treat,-1986
The Pact II,-2014
The Grudge 2,-2006
Deadgirl,-2008
When the Lights Went Out,-2012
6 Souls,-2010
Black Rock,-2012
And Soon the Darkness,-2010
Black Christmas,-2006
